pincode,area_name,micro_market,taluk,district,planning_authority,approval_body,typical_khata,zone_type,primary_economic_driver,metro_status,strr_proximity,re_typology,investment_tier,water_risk_level,apt_psf_min,apt_psf_max,land_cr_per_acre_min,land_cr_per_acre_max,notes
560001,MG Road / CBD / Vidhana Soudha,CBD,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Government / Commercial / Heritage,Operational,25km+,Ultra-Luxury Boutique / Grade A Commercial,Tier2_Stable,High,18000,30000,0,0,Historic core; scarcity value; no greenfield opportunity; Purple+Green lines operational
560002,Shivajinagar / City Railway Station,CBD North,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Commercial / Transit Hub,Operational,25km+,Commercial / Redevelopment Boutique,Tier2_Stable,High,12000,18000,0,0,Major transit node; Purple Line; limited residential
560003,Rajajinagar,West Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Traditional Commerce / Residential,Operational,25km+,Premium Mid-Rise / Boutique,Tier2_Stable,High,8000,12000,0,0,Mature established; BDA planned layout; Purple Line
560004,Malleswaram,North Bangalore Inner,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Heritage Residential / Retail / Educational,Operational,25km+,Premium Boutique / Redevelopment,Tier2_Stable,High,9000,14000,0,0,High demand very low supply; old money enclave; Green Line operational
560005,Basavanagudi,South Bangalore Core,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Heritage / Educational / Residential,Operational,25km+,Premium Boutique / Independent Houses,Tier2_Stable,High,8000,13000,0,0,Traditional South Bangalore; cultural anchor; Yellow Line partial
560006,Jayanagar,South Bangalore Core,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,End-user Residential / Retail,Operational,25km+,Premium Mid-Rise / Independent Houses,Tier2_Stable,High,9000,14000,0,0,Most livable locality in Bangalore; BDA planned; Yellow Line operational
560007,Richmond Town / Langford Town,CBD South,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_Apex,Ultra-HNI / Expat / Institutional,Operational,25km+,Ultra-Luxury Boutique Apartments,Tier2_Stable,High,15000,25000,0,0,Expat and embassy belt; ultra-low supply; Purple Line
560008,Ulsoor / Halasuru,East Inner,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / Defense / Commercial,Phase_2A,25km+,Premium / Boutique Redevelopment,Tier2_Stable,High,10000,15000,0,0,Adjacent MG Road; Ulsoor Lake premium potential; Phase 2A upcoming
560009,Yelahanka Old Town,Yelahanka Corridor,Yelahanka,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,Airport Proximity / Residential,Phase_2B,8-12km,Premium Mid-Rise / Villas / Plots,Tier1_High_Growth,Medium,6000,9500,1.5,3.0,Old town adjacent BDA zone; strong appreciation; airport 25km
560010,Vijayanagar West,West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / Traditional Commerce,Operational,25km+,Mid-Rise / Independent Houses,Tier2_Stable,High,7000,10500,0,0,Mature working + middle class; Purple Line; limited growth
560011,Rajajinagar New Extension,West Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Traditional Residential,Operational,25km+,Premium Mid-Rise,Tier2_Stable,High,8000,11000,0,0,Strong end-user demand; Cauvery coverage; Purple Line
560012,Yeshwanthpur,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Industrial / Commercial / Residential,Operational,25km+,Mid-Rise / Commercial,Tier2_Stable,Medium,6500,9500,0,0,Green Line junction Tumkur Road; transitioning industrial to residential
560013,Laggere,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Industrial / Affordable Residential,Planned,25km+,Affordable Mid-Rise / Industrial Mixed,Tier3_Slow,Medium,4500,7000,0,0,Industrial zone transitioning slowly; limited residential premium
560014,Mathikere,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / Educational,Planned,25km+,Mid-Rise Apartments,Tier2_Stable,Medium,6500,9500,0,0,MSRIT corridor; education hub; improving infrastructure
560015,Hebbal,North Bangalore Luxury,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Airport Access / IT / Luxury Residential,Phase_2B,12-18km,Ultra-Luxury High-Rise / Grade A Commercial,Tier1_Premium,High,12000,20000,0,0,22% of Bangalore luxury sales FY25; CXO-founder belt; INR 10cr+ segment epicentre
560016,Sadashivanagar / Palace Orchards,North Bangalore Ultra,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_Apex,Ultra-HNI / Diplomatic / Political,Operational,25km+,Ultra-Luxury Bungalows / Boutique Apartments,Tier2_Stable,High,20000,40000,0,0,Highest land value North Bangalore; Raj Bhavan adjacent; old money families
560017,Chamrajpet,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Traditional Commerce / Residential,Operational,25km+,Mid-Rise / Commercial,Tier3_Slow,High,6000,8500,0,0,Textile and trade community; limited residential growth; Purple Line
560018,Gandhinagar / Wholesale Market,CBD West,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Commercial / Wholesale Trade,Operational,25km+,Commercial Redevelopment,Tier3_Slow,High,0,0,0,0,Predominantly commercial; wholesale district; minimal residential
560019,Seshadripuram,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Educational / Residential,Operational,25km+,Premium Boutique / Mid-Rise,Tier2_Stable,High,8500,12500,0,0,Educational institutions drive demand; stable HNI enclave; Green Line
560020,Cubbon Park / MG Road area,CBD,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_Apex,Government / Institutional,Operational,25km+,Grade A Commercial Only,Tier2_Stable,High,0,0,0,0,Government zone; no residential development; Purple+Green hub
560021,Shivajinagar / Russell Market,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Commercial / Transit,Operational,25km+,Commercial / Mid-Rise Redevelopment,Tier2_Stable,High,8000,12000,0,0,Transit hub; Russell Market commercial dominant; Purple Line
560022,Vasanthnagar,North Bangalore Premium,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Ultra-HNI Luxury Residential,Operational,25km+,Luxury / Ultra-Luxury Apartments,Tier2_Stable,High,14000,22000,0,0,Elite enclave; Palace Grounds proximity; very low supply
560023,Cottonpet,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Wholesale / Commercial,Operational,25km+,Commercial Only,Tier3_Slow,High,0,0,0,0,Purely commercial; hardware and wholesale district
560024,Dollars Colony / Hebbal North,North Bangalore Luxury,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,IT Corridor / Airport / Luxury Residential,Phase_2B,12-18km,Ultra-Luxury High-Rise / Branded Villas,Tier1_Premium,High,14000,22000,0,0,Fastest appreciating luxury zone; startup founder enclave; airport access
560025,Vijayanagar South,West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Rise,Tier3_Slow,High,6500,9000,0,0,Mature residential; limited growth; Purple Line
560026,Mysore Road / Kengeri approach,South-West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Peri_Transition,Industrial / Affordable Residential,Operational,25km+,Affordable Mid-Rise / Industrial Mixed,Tier2_Improving,Medium,3500,6000,0,0,PRR integration will accelerate growth; Purple Line Kengeri terminal nearby
560027,Kengeri,South Bangalore Periphery,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable Residential / IT Spillover,Operational,25km+,Affordable Apartments / BDA Layouts,Tier2_Improving,Medium,3800,6500,0,0,Metro Purple Line terminal drives demand; affordable entry; PRR impact incoming
560028,Banashankari / JP Nagar Phase 1,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,End-user Residential,Operational,25km+,Premium Mid-Rise / Villas,Tier2_Stable,High,7000,11000,0,0,BDA planned layout; high livability; strong end-user; Yellow Line
560029,Hanumanthanagar,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Rise,Tier3_Slow,High,6000,8500,0,0,Mature locality; stable demand; limited appreciation
560030,Jayanagar 4th Block / JP Nagar Phase 2,South Bangalore Premium,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Premium Residential / Retail,Operational,25km+,Premium Apartments / Independent Houses,Tier2_Stable,High,9000,14000,0,0,Among Bangalore's most sought-after addresses; Yellow Line operational
560031,Lalbagh / Gandhi Bazaar,South Bangalore Core,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Heritage Residential,Operational,25km+,Premium Boutique,Tier2_Stable,High,8000,12000,0,0,Lalbagh corridor premium; stable heritage value; Yellow Line
560032,Wilson Garden,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Premium Rise,Tier2_Stable,High,7500,11000,0,0,Established upper-middle class locality; Yellow Line nearby
560033,Benson Town / Cox Town,East Inner,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Heritage / Expat / Institutional Residential,Operational,25km+,Premium Boutique / Redevelopment,Tier2_Stable,High,9000,14000,0,0,Colonial heritage; expat and Christian institutional demand; Purple Line nearby
560034,Koramangala,East Bangalore Luxury Hub,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Startup Ecosystem / F&B / Luxury Residential,Operational,25km+,Ultra-Luxury / Boutique / Grade A Commercial,Tier1_Premium,High,13000,22000,0,0,India startup epicentre; highest F&B density; Green Line nearby; no greenfield land
560035,Sarjapur Road / Bellandur,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / Luxury Residential,Phase_2A,20-25km,Premium High-Rise / Grade A Office,Tier1_High_Growth,Very_High,8500,14000,0,0,Highest IT employee concentration; acute water crisis; Phase 2A Metro transformational
560036,Cunningham Road / Palace Area,North Bangalore Ultra,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_Apex,Ultra-HNI Residential,Operational,25km+,Ultra-Luxury / Boutique,Tier2_Stable,High,18000,35000,0,0,Palace Grounds adjacent; ultra-exclusive enclave; Green Line
560037,Frazer Town / Pulikeshinagar,East Inner,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Mixed-Community Heritage Residential,Operational,25km+,Premium Boutique / Mid-Rise,Tier2_Stable,High,9000,13000,0,0,Stable heritage demand; Purple Line nearby; limited new supply
560038,Indiranagar / Defence Colony,East Bangalore Luxury,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Luxury Residential / Retail / F&B,Phase_2A,25km+,Ultra-Luxury / Grade A Retail,Tier1_Premium,High,13000,22000,0,0,Most desired East Bangalore address; 100 Feet Road effect; Blue Line Phase 2A
560039,Ejipura / ISRO Layout,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,IT / Residential,Operational,25km+,Premium Mid-Rise,Tier2_Stable,High,8000,12000,0,0,ISRO campus institutional demand; Green Line nearby
560040,HAL / Murugeshpalya,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Defense / HAL / IT Residential,Phase_2A,25km+,Premium Apartments / Commercial,Tier2_Stable,High,9000,14000,0,0,HAL township; defense colony premium; Blue Line Phase 2A
560041,Domlur / Embassy Golf Links,East Bangalore Premium,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,IT / Luxury Residential / Commercial,Phase_2A,25km+,Luxury Apartments / Grade A Office,Tier1_Premium,High,12000,18000,0,0,Embassy Golf Links drives ultra-premium; Blue Line Phase 2A
560042,Shivajinagar alternate PO,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Commercial / Transit,Operational,25km+,Commercial,Tier3_Slow,High,0,0,0,0,Primarily commercial PO; no residential play
560043,Rajajinagar Industrial area,West Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Industrial / Mid Residential,Operational,25km+,Mid-Rise,Tier3_Slow,High,6000,9000,0,0,Industrial transition zone; Purple Line
560044,Jalahalli / Peenya partial,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Defense / Industrial / Residential,Planned,25km+,Mid-Rise / Affordable Apartments,Tier2_Improving,Medium,5000,7500,0,0,Defense BHEL proximity; improving with Metro Green Line
560045,RT Nagar / HBR Layout partial,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Planned,25km+,Mid-Rise,Tier2_Stable,Medium,6000,9000,0,0,Working professional residential; improving with Metro
560046,Banaswadi,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,IT Corridor Residential,Phase_2A,20-25km,Premium Mid-Rise,Tier2_Improving,Medium_High,7000,10500,0,0,ORR access; Phase 2A Metro upcoming; appreciation expected; Blue Line
560047,CV Raman Nagar / Byappanahalli,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Defense / Residential / Transit,Operational,20-25km,Mid-Premium Rise,Tier2_Stable,Medium_High,7000,10000,0,0,Blue Line terminal; defense zone; KR Puram access
560048,Marathahalli / Kadubeesanahalli,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / Residential,Phase_2A,20-25km,Premium High-Rise / Commercial,Tier1_High_Growth,Very_High,8000,13000,0,0,ORR tech hub; Embassy Tech Village; Bellandur adjacent; acute water crisis
560049,Kammanahalli / St Thomas Town,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / Christian Institutional,Operational,25km+,Mid-Rise / Boutique,Tier2_Stable,Medium_High,7000,10000,0,0,Established locality; Blue Line nearby; stable demand
560050,Kaggadasapura / DRDO Township,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Defense / Government Residential,Operational,25km+,Mid-Rise,Tier2_Stable,Medium_High,6500,9500,0,0,DRDO and HAL township residents; Blue Line nearby; stable demand
560051,RMV Extension / Dollar's Layout,North Bangalore Premium,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Premium Residential / HNI,Operational,25km+,Premium Boutique / Villas,Tier2_Stable,High,9000,14000,0,0,Old-money premium enclave; Green Line; very limited new supply
560052,Devasandra / KR Puram partial,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / IT Spillover,Phase_2A,20-25km,Affordable Mid-Rise,Tier2_Improving,Medium_High,5500,8000,0,0,KR Puram spillover; Metro improving this zone; Blue Line
560053,Nagarbhavi / Nagarabhavi,South-West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Educational / Residential,Planned,25km+,Affordable Mid-Rise / Plotting,Tier2_Improving,Medium,4500,7000,0,0,Multiple universities; student and faculty demand; Purple Line extension planned
560054,Peenya / Mahalaxmi Layout,North Bangalore Industrial,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Industrial,Manufacturing / Industrial / Logistics,Operational,25km+,Industrial / Warehousing / Affordable Residential,Tier2_Industrial,Medium,3500,5500,0,0,Peenya SIDCO industrial estate; Green Line operational; transitioning slowly
560055,Rajajinagar Industrial / Chandra Layout,West Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Industrial / Residential,Operational,25km+,Industrial Redevelopment / Mid-Rise,Tier3_Slow,High,5500,8000,0,0,Aging industrial zone; slow residential transition; Purple Line
560056,Magadi Road / Kamakshipalya,South-West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier3_Slow,High,4000,6000,0,0,Lower income belt; limited premium play; Purple Line nearby
560057,Nandini Layout,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Planned,25km+,Mid-Rise,Tier3_Slow,High,5500,8000,0,0,Working class locality; limited growth; Purple Line nearby
560058,Bommanahalli / Hongasandra,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,IT Spillover / Affordable,Operational,25km+,Affordable Mid-Rise / Apartments,Tier2_Improving,Medium_High,4500,7000,0,0,Electronic City spillover; improving; Green Line nearby
560059,Amrutahalli / Jakkur,Yelahanka Corridor,Yelahanka,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,Airport Proximity / Residential,Phase_2B,10-15km,Premium Mid-Rise / Villas,Tier1_High_Growth,Medium,6500,10000,0,0,Airport road adjacency; Green Line Phase 2B; strong appreciation expected
560060,Anand Nagar / Hebbal West,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Phase_2B,15-20km,Mid-Rise,Tier2_Stable,Medium,6000,9000,0,0,Hebbal spillover residential; Green Line improving
560061,Vijayanagar / Srinagar,West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Rise / Independent Houses,Tier3_Slow,High,6000,8500,0,0,Traditional West Bangalore; stable but slow appreciation; Purple Line
560062,Basaveshwara Nagar,North-West Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Premium Residential,Operational,25km+,Premium Mid-Rise / Boutique,Tier2_Stable,High,7500,11000,0,0,Premium BDA layout; Cauvery water coverage; Purple Line
560063,Nagasandra,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,5000,7500,0,0,Green Line terminal area; improving access
560064,Yelahanka New Town / Attur,Yelahanka Premium,Yelahanka,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_High_Value,Airport Corridor / Premium Residential,Phase_2B,8-12km,Premium Apartments / Villas / Branded Plots,Tier1_High_Growth,Medium,7000,12000,2.0,4.5,BDA planned township; 69-133% appreciation FY21-26; NH-44 frontage; airport 22km
560065,Sanjay Nagar / MS Ramaiah area,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Educational / Medical / Residential,Operational,25km+,Premium Mid-Rise,Tier2_Stable,High,7500,11500,0,0,MS Ramaiah Medical cluster; stable institutional demand; Green Line
560066,Whitefield / ITPL / EPIP Zone,East Bangalore Tech Core,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / MNC / Luxury Residential,Phase_2A,20-25km,Premium-Luxury High-Rise / Grade A Office,Tier1_Premium,Very_High,9000,15000,0,0,Largest IT cluster; 57% price rise over 5 years; acute water crisis; Phase 2A Metro critical
560067,Hoodi / Brookefields / Whitefield East,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / Residential,Phase_2A,20-25km,Premium Apartments / Commercial,Tier1_High_Growth,Very_High,7500,12000,0,0,Whitefield overflow residential; strong rental demand; Phase 2A Metro
