pincode,area_name,micro_market,taluk,district,planning_authority,approval_body,typical_khata,zone_type,primary_economic_driver,metro_status,strr_proximity,re_typology,investment_tier,water_risk_level,apt_psf_min,apt_psf_max,land_cr_per_acre_min,land_cr_per_acre_max,notes
560068,Kodigehalli / Jakkur area,Yelahanka Corridor,Yelahanka,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Residential / Airport Proximity,Phase_2B,8-12km,Mid-Premium Apartments,Tier1_High_Growth,Medium,6500,9500,0,0,Jakkur aerodrome zone; Green Line Phase 2B transformational
560069,JP Nagar / Bannerghatta Road,South Bangalore Premium,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Peri_Transition,Premium Residential / IT Corridor,Operational,25km+,Premium Villas / High-Rise,Tier1_High_Growth,High,8000,13000,0,0,JP Nagar premium belt; Metro Yellow Line operational; strong end-user demand
560070,DVG Road / Basavanagudi alternate,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Heritage Residential,Operational,25km+,Premium Boutique,Tier2_Stable,High,8000,12000,0,0,Heritage belt; very limited new supply; Yellow Line nearby
560071,Bannerghatta / Begur extended,South Bangalore Periphery,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Residential / Forest Adjacent,Operational,25km+,Mid-Rise / Eco-Villas,Tier2_Improving,Medium_High,5500,8500,0,0,BNP buffer zone; eco-premium potential; Yellow Line nearby; green corridor premium
560072,Electronic City Phase 1 alternate,South-East Bangalore,Anekal,Bengaluru Urban,BDA / KIADB,BDA,A-Khata,Peri_Urban_Tech,IT / Manufacturing / Residential,Planned,25km+,Mid-Rise Tech Apartments / Industrial,Tier2_Stable,High,5500,8500,0,0,Infosys campus; established IT zone; affordable vs Whitefield; Yellow Line extension
560073,Konanakunte / Uttarahalli,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Peri_Transition,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,5000,7500,0,0,Metro Yellow Line improving corridor; Kanakapura Road spillover
560074,Kanakapura Road / Uttarahalli,South Bangalore Metro,Bangalore South,Bengaluru Urban,BBMP / BDA,BBMP,A-Khata,Peri_Urban_High_Value,Premium Residential / Metro Corridor,Operational,25km+,Premium Apartments / Villas / Plotting,Tier1_High_Growth,Medium,6500,10500,1.5,3.5,Yellow Line operational; 100% appreciation potential in 5 years; strong end-user; Total Environment active
560075,Judicial Layout / RR Nagar,South-West Bangalore,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Operational,25km+,Mid-Rise / Plotting / BDA Layouts,Tier2_Stable,Medium,5500,8000,0,0,BDA planned; Mysore Road proximity; stable improving
560076,Vijayanagar alternate sub-PO,West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Rise,Tier3_Slow,High,5500,8000,0,0,Mature; limited growth; Purple Line
560077,Hennur Road / HBR Layout extended,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT Corridor / Premium Residential,Phase_2A,15-20km,Premium Mid-Rise / Villas,Tier1_High_Growth,Medium,7000,11000,0,0,69-133% price rise since FY21; airport road proximity; emerging luxury; Blue Line Phase 2A
560078,Lingarajapuram / KR Puram partial,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,5000,7500,0,0,KR Puram transition zone; Metro improving; Blue Line
560079,Shampura / Kalyan Nagar,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,4500,7000,0,0,Improving with Metro proximity; Blue Line nearby
560080,Nagawara / HBR Layout,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / IT Spillover,Phase_2A,15-20km,Mid-Premium Apartments,Tier1_High_Growth,Medium,7000,10500,0,0,Airport road proximity; Phase 2A Metro transformational; Blue Line planned
560081,Thanisandra / Byrathi,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT Corridor / Premium Residential,Phase_2B,10-15km,Premium Apartments / Villas,Tier1_High_Growth,Medium,8000,13000,0,0,133% price rise since FY21; INR 11000-13000 PSF; hottest northern corridor 2024-26
560082,Sahakara Nagar / Hebbal partial,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / Commercial,Phase_2B,15-20km,Mid-Premium Apartments,Tier2_Stable,Medium,7000,10000,0,0,Established residential; airport road access; Green Line Phase 2B
560083,Ramamurthy Nagar,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential / Manufacturing,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,4500,7000,0,0,Industrial-to-residential transition; improving slowly; Blue Line nearby
560084,KR Puram / Baiyappanahalli,East Bangalore Gateway,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,IT Gateway / Residential / Industrial,Operational,20-25km,Affordable-Mid Rise / Commercial,Tier2_Improving,Medium_High,5000,7500,0,0,KR Puram Metro junction; gateway to Whitefield; underpriced vs potential; Blue Line
560085,BTM Layout / Madiwala,South Bangalore Tech,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,IT Corridor / Young Professional Residential,Operational,25km+,Premium Mid-Rise / Co-Living / Co-Working,Tier1_Premium,High,8000,12500,0,0,India startup capital residential hub; highest co-living demand; 500+ startups; Green Line
560086,Gottigere / Hongasandra,South Bangalore,Bangalore South,Bengaluru Urban,BDA / GP,BBMP,A-Khata,Peri_Urban_Transition,Affordable Residential,Planned,25km+,Affordable Mid-Rise / Plotting,Tier2_Improving,Medium_High,4500,7000,0,0,Metro Yellow Line extending; improving rapidly; Electronic City proximity
560087,Hulimavu / Arekere,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Planned,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,4500,7000,0,0,Bannerghatta Road proximity; affordable entry; Yellow Line planned extension
560088,Begur Road / Hongasandra extended,South Bangalore,Bangalore South,Bengaluru Urban,BBMP / BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable Residential,Planned,25km+,Affordable Mid-Rise / Plotting,Tier2_Improving,Medium,4000,6500,0,0,Electronic City and Koramangala catchment; improving slowly
560089,Akshayanagar / Bilekahalli,South Bangalore,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Planned,25km+,Affordable Mid-Rise / BDA Layouts,Tier2_Improving,Medium,4500,7000,0,0,BDA planned; Metro improving; Electronic City spillover
560090,Jigani,South-East Industrial,Anekal,Bengaluru Urban,KIADB,KIADB,Industrial_Licence,Industrial_Zone,Manufacturing / Auto / Light Industrial,None,25km+,Industrial Land / Warehousing,Tier2_Industrial,Medium,0,0,0,0,KIADB industrial estate; no residential play; auto and pharma manufacturing
560091,Bannerghatta forest fringe,South Bangalore Forest Buffer,Bangalore South,Bengaluru Urban,BDA / Forest Dept,BDA,Special_Permission,Forest_Buffer,Eco-Tourism / Forest Adjacent,None,25km+,Restricted / Eco-Resort Only,Tier3_Restricted,Low,0,0,0,0,Bannerghatta NP buffer; severe development restrictions; NGT enforcement
560092,Garvebhavi Palya / Electronics City adjacent,South-East Bangalore,Anekal,Bengaluru Urban,BBMP / BDA,BBMP,A-Khata,Peri_Urban_Transition,IT Spillover / Affordable,None,25km+,Affordable Apartments / Plotting,Tier2_Improving,High,4000,6500,0,0,Electronic City worker housing; improving slowly
560093,Mahadevapura / Whitefield partial,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / MNC,Phase_2A,20-25km,Premium High-Rise / Commercial,Tier1_High_Growth,Very_High,8500,13000,0,0,ITPL and EPIP adjacent; massive GCC absorption; Phase 2A critical
560094,Virgonagar / Varthur partial,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Affordable / IT Spillover,None,25km+,Affordable Mid-Rise,Tier2_Improving,High,4500,7000,0,0,Whitefield periphery; affordable entry; improving slowly; water risk
560095,Dooravaninagar / BEML Township,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Defense / Government Residential,Operational,25km+,Mid-Rise / Defense Township,Tier2_Stable,Medium,5500,8000,0,0,BEML and defense employees; stable demand; Blue Line nearby
560096,Kasturinagar,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / IT Spillover,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,5500,8000,0,0,KR Puram corridor; affordable vs Whitefield; Blue Line improving
560097,Horamavu / Rachenahalli,North-East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Phase_2A,15-20km,Mid-Rise Apartments,Tier2_Improving,Medium,6000,9000,0,0,Airport road proximity; Phase 2A Blue Line will benefit; improving fast
560098,Ramamurthy Nagar extended / Banaswadi partial,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,4500,7000,0,0,Industrial zone proximity; slow improving; Blue Line nearby
560099,Electronic City Phase 2,South-East Bangalore,Anekal,Bengaluru Urban,BDA,BDA,A-Khata,Peri_Urban_Tech,IT / Manufacturing,Planned,25km+,Mid-Rise Tech Apartments,Tier2_Stable,High,5500,8500,0,0,Wipro and Infosys Phase 2; established IT residential; Yellow Line extension planned
560100,Electronic City Phase 1 / Neeladri Nagar,South-East Bangalore,Anekal,Bengaluru Urban,KIADB / BDA,BDA,A-Khata,Peri_Urban_Tech,IT Anchor / Manufacturing,Planned,25km+,Mid-Rise Tech Apartments,Tier2_Stable,High,5000,8000,0,0,Original Electronic City; Infosys HQ; Wipro; established affordable IT residential
560101,Marathahalli South,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / Retail,Phase_2A,20-25km,Premium Apartments / Commercial,Tier1_High_Growth,Very_High,8000,13000,0,0,Embassy Tech Village adjacent; ORR commercial hub; Phase 2A Metro
560102,Varthur,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / Residential,Phase_2A,20-25km,Premium Apartments / Plotting,Tier1_High_Growth,Very_High,7000,11000,0,0,Whitefield spillover; strong appreciation; Varthur lake proximity risk; Phase 2A
560103,Bellandur / Kadubeesanahalli,East Bangalore Tech Core,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / Luxury Residential,Phase_2A,20-25km,Premium High-Rise / Grade A Commercial,Tier1_High_Growth,Very_High,9000,14000,0,0,Highest IT office density on ORR; Bagmane and RMZ concentration; acute water crisis
560104,HSR Layout,South Bangalore Premium,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,Startup / IT Residential / Commercial,Operational,25km+,Premium Apartments / Villas / Co-Working,Tier1_Premium,High,10000,16000,0,0,Startup capital residential hub; 500+ startups; Green Line nearby; premium stable
560105,Bommasandra,South-East Industrial,Anekal,Bengaluru Urban,KIADB,KIADB,Industrial_Licence,Industrial_Zone,Auto Manufacturing / Light Industrial,None,25km+,Industrial Land / Warehousing,Tier2_Industrial,Medium,0,0,0,0,KIADB industrial; Bosch and Toyota supply chain; no residential play
560106,Kaggalipura,South Bangalore Rural Fringe,Bangalore South,Bengaluru Urban,Gram_Panchayat,GP,Revenue_Khata,Rural_Fringe,Agricultural / Speculative,None,25km+,Managed Farmlands / Eco-Resort / Speculative Plots,Tier3_Speculative,Low,0,0,0.4,1.2,GP jurisdiction; title risk; long-term land banking; Kanakapura corridor influence
560107,Attibele,South-East Periphery,Anekal,Bengaluru Urban,BMRDA / GP,GP,Revenue_Khata,Peri_Urban_Industrial,Manufacturing / Logistics,None,STRR_Phase2_Node,Warehousing / Industrial Land / Affordable Plots,Tier2_Industrial,Medium,0,0,0.5,1.5,STRR Phase 2 node; Tamil Nadu border; logistics gateway; title risk in GP parcels
560108,Kengeri Satellite Town,South Bangalore,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable Residential / Metro Terminal,Operational,25km+,Affordable Apartments / BDA Layouts,Tier2_Improving,Medium,4000,6500,0,0,Purple Line terminal; PRR impact incoming; Metro benefit for affordables
560109,Subramanyapura / Uttarahalli,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Planned,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,4500,7000,0,0,Kanakapura Road catchment; Yellow Line improving this corridor
562100,Doddaballapura Town,Doddaballapura Corridor,Doddaballapura,Bengaluru Rural,CMC / BMRDA,CMC,A-Khata_CMC,Peripheral_Urban,Apparel / Textile / Residential,None,STRR_Node,Affordable Plotting / Industrial / Managed Farmlands,Tier2_Improving,Low_Medium,0,0,1.0,1.71,STRR node; apparel SEZ; eco-resort potential; 1.0-1.71 Cr/acre; scenic topography
562101,Doddaballapura Rural,Doddaballapura Corridor,Doddaballapura,Bengaluru Rural,Gram_Panchayat,GP,Revenue_Khata,Rural_Speculative,Agricultural / Speculative,None,STRR_Node_Adjacent,Managed Farmlands / Eco-Resorts / Land Banking,Tier3_Speculative,Low,0,0,0.2,0.8,GP jurisdiction; scenic topography; long-term play; verify DC conversion before acquisition
562102,Devanahalli Town,Devanahalli Aerotropolis,Devanahalli,Bengaluru Rural,CMC / BMRDA,DULT / CMC,A-Khata_CMC,Peripheral_Urban_High_Value,Aerospace / Airport / Tech Parks,Airport_Metro_Planned,STRR_Node,Premium Plotting / Mixed-Use / Hospitality,Tier1_High_Growth,Medium,0,0,1.5,2.8,Airport 7km; Aerospace SEZ; BIAL Aerospace Park; 350% appreciation since 2008; Prestige Brigade active
562106,Attibele 562 series,South-East Periphery,Anekal,Bengaluru Urban,Gram_Panchayat,GP,Revenue_Khata,Industrial_Rural_Fringe,Manufacturing / Logistics / Industrial,None,STRR_Phase2_Node,Industrial Land / Warehousing / Logistics Park,Tier2_Industrial,Medium,0,0,0.5,1.5,Tamil Nadu border; logistics gateway; STRR Phase 2 node; GP title risk; verify before acquisition
562107,Anekal Town,South-East Periphery,Anekal,Bengaluru Urban,CMC / BMRDA,CMC,A-Khata_CMC,Peripheral_Urban,IT Spillover / Manufacturing / Affordable Residential,None,STRR_Phase2,Affordable Apartments / Plotting / Industrial,Tier2_Improving,Medium,3500,6000,0.5,1.8,Chandapura-Anekal corridor; INR 6.5 Cr/acre Chandapura; STRR will transform; improving fast
562109,Sarjapur,South-East Periphery,Anekal,Bengaluru Urban,Gram_Panchayat / BDA,GP / BDA,B-Khata_Converting,Peri_Urban_High_Value,IT Spillover / Luxury Residential,None,20-25km,Premium Apartments / Villas / Branded Plots,Tier1_High_Growth,High,5000,9000,1.0,3.0,Sarjapur Road extension; Prestige and Brigade active; major JDA transactions; B-Khata converting
562110,Devanahalli / Bagalur / BIAL area,Devanahalli Aerotropolis,Devanahalli,Bengaluru Rural,BMRDA / KIADB,DULT,A-Khata,Peripheral_High_Value,Aerotropolis / Tech Parks / Premium Residential,Airport_Metro_Planned,STRR_Node,Ultra-Premium Plots / Villa Communities / Mixed-Use Townships,Tier1_Apex_Growth,Medium,0,0,1.5,2.8,350% appreciation since 2008; Total Environment Tangled Up in Green here; airport 5km; NRI and HNI epicentre
562111,Doddaballapura Town alternate,Doddaballapura Corridor,Doddaballapura,Bengaluru Rural,CMC,CMC,A-Khata_CMC,Peripheral_Urban,Apparel / Industrial / Residential,None,STRR_Node,Affordable Plotting / Industrial,Tier2_Improving,Low,0,0,0.8,1.5,STRR node; apparel park; second-home potential; improving
562112,Nelamangala Town,Nelamangala Corridor,Nelamangala,Bengaluru Rural,CMC / BMRDA,CMC,A-Khata_CMC,Peripheral_Urban,Heavy Industrial / Logistics / NH-48,None,STRR_Node,Budget Plotting / Industrial Land / Warehousing,Tier2_Industrial,Medium,2000,5000,0.5,1.5,NH-48 Mumbai highway; STRR node; institutional warehousing target; INR 2000-5000 psf plots
562113,Nelamangala Rural,Nelamangala Corridor,Nelamangala,Bengaluru Rural,Gram_Panchayat,GP,Revenue_Khata,Rural_Speculative,Agricultural / Speculative / Industrial,None,STRR_Node_Adjacent,Industrial Land Banking / Budget Plots,Tier3_Speculative,Low,0,0,0.1,0.5,GP jurisdiction; long gestation; industrial land banking; verify title carefully
562114,Hoskote Town,Hoskote Logistics Hub,Hoskote,Bengaluru Rural,CMC / BMRDA,CMC,A-Khata_CMC,Peripheral_Urban,Logistics / Auto Manufacturing / NH-4,None,STRR_Node,Warehousing / Industrial / Value Plotting,Tier1_Industrial_Growth,Medium,0,0,1.0,2.5,Chennai highway intersection; STRR Hoskote-Hosur June 2026; e-commerce logistics hub; Prestige land bank here
562115,Hoskote Rural,Hoskote Logistics Hub,Hoskote,Bengaluru Rural,Gram_Panchayat,GP,Revenue_Khata,Rural_Industrial_Fringe,Logistics / Agricultural / Industrial,None,STRR_Node,Industrial Land / Budget Plots / Warehousing,Tier2_Industrial,Medium,0,0,0.3,1.0,STRR adjacent; logistics land banking; GP title risk; verify before acquisition
562117,Magadi Town,South-West Periphery,Magadi,Bengaluru Rural,CMC,CMC,A-Khata_CMC,Peripheral_Rural,Agricultural / Tourism / Speculative,None,STRR_Phase2,Managed Farmlands / Speculative Land / Eco-Resorts,Tier3_Speculative,Low,0,0,0.2,0.8,STRR Phase 2 delays; long gestation; scenic; eco-resort play; 20-80L/acre
562118,Kanakapura Town,South Periphery,Kanakapura,Ramanagara District,CMC,CMC,A-Khata_CMC,Peripheral_Rural,Tourism / Agriculture / Speculative,None,STRR_Phase2,Managed Farmlands / Resort Second Homes / Land Banking,Tier3_Speculative,Low,0,0,0.4,1.29,Ramanagara district; Yellow Line extended endpoint planned; 40L-1.29Cr/acre; long-term appreciation
562119,Ramanagara Town,South-West Periphery,Ramanagara,Ramanagara District,CMC,CMC,A-Khata_CMC,Peripheral_Rural,Silk Industry / Tourism / Speculative,None,STRR_Phase2,Managed Farmlands / Eco-Tourism / Speculative Land,Tier3_Speculative,Low,0,0,0.2,0.6,Silk City; Cauvery River proximity; 20-60L/acre; very long gestation RE play
562120,Channapatna Town,South-West Periphery,Channapatna,Ramanagara District,CMC,CMC,A-Khata_CMC,Peripheral_Rural,Toy Industry / Tourism / Speculative,None,STRR_Phase2,Managed Farmlands / Speculative Land,Tier3_Speculative,Low,0,0,0.15,0.5,GI-tagged toy cluster; outside BMRDA; very long gestation; 15-50L/acre
562121,Devanahalli Rural villages,Devanahalli Aerotropolis Rural,Devanahalli,Bengaluru Rural,Gram_Panchayat / BMRDA,GP,Revenue-B_Khata,Rural_High_Value,Airport Influence / Agricultural / Speculative,Airport_Metro_Planned,STRR_Node,Premium Branded Plots / Land Banking / Farm Estates,Tier1_High_Growth,Medium,0,0,0.8,2.2,Airport corridor appreciation; GP title risk; massive NRI and investor interest; 80L-2.2Cr/acre
562122,Yelahanka 562 / Jakkur,Yelahanka Premium,Yelahanka,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_High_Value,Airport Proximity / Residential,Phase_2B,8-12km,Premium Plots / Villas / Apartments,Tier1_High_Growth,Medium,5000,9000,1.5,3.5,BDA planned; airport road; strong NRI and investor demand; Green Line Phase 2B
562123,Nelamangala town core,Nelamangala Corridor,Nelamangala,Bengaluru Rural,CMC,CMC,A-Khata_CMC,Peripheral_Urban,Industrial / Logistics / Residential,None,STRR_Node,Budget Plots / Warehousing / Affordable Residential,Tier2_Industrial,Medium,2000,4500,0.5,1.2,NH-48 logistics corridor; STRR node; institutional warehousing target
